DLF Member,Florida State University,7/1/11 0:00,"116 Honors Way, Tallahassee, FL 32306 US"
CLIR Sponsor-DLF Member,University of Georgia,7/1/13 0:00,"South Jackson Street, Athens, GA 30602 US"
CLIR Sponsor-DLF Member LAC,Hamilton College,7/12/16 0:00,"198 College Hill Road, Clinton, NY 13323 US"
CLIR Sponsor-DLF Member,University of Tennessee,7/1/11 0:00,"1015 Volunteer Boulevard, John C. Hodges Library, Knoxville, TN 37996-1000 US"
CLIR Sponsor-DLF Member,University of British Columbia,7/1/11 0:00,"1961 East Mall, Irving K. Barber Learning Center,  Room 202, Vancouver, BC V6T 1Z1 CA"
CLIR Sponsor-DLF Member,Texas Tech University,7/1/16 0:00,"18th and Boston, Box 40002, Lubbock, TX 79409-0002 US"
CLIR Sponsor-DLF Member,University of South Carolina,7/1/15 0:00,"Thomas Cooper Library, 1322 Greene Street, Columbia, SC 29208 US"
CLIR Sponsor-DLF Member,University at Albany,8/30/13 0:00,"1400 Washington Avenue, Albany, NY 12222-0001 US"
CLIR Sponsor-DLF Member,Rice University,7/1/11 0:00,"Fondren Library MS-44, PO Box 1892 MS 44, Houston, TX 77251-1892 US"
CLIR Sponsor-DLF Member,Purdue University,7/1/11 0:00,"504 West State Street, 1530 Stewart Center, West Lafayette, IN 47907-2058 US"
CLIR Sponsor-DLF Member,Binghamton University,7/1/16 0:00,"P.O. Box 6012, Binghamton, NY 13902-6012 US"
CLIR Sponsor-DLF Member,Library of Congress,7/1/13 0:00,"101 Independence Ave.,SE, LM62, Washington, DC 20540-4000 US"
DLF Member,Drexel University,7/1/16 0:00,"Hagerty Library, 3141 Chestnut Street, Philadelphia, PA 19104-2816 US"
CLIR Sponsor-DLF Member,Wake Forest University,7/1/16 0:00,"1834 Wake Forest Road, Winston-Salem, NC 27106 US"
CLIR Sponsor-DLF Member LAC,Kenyon College,7/1/15 0:00,"103 College Drive, Olin-Chalmers Library, Gambier, OH 43022 US"
CLIR Sponsor-DLF Member,Iowa State University,7/1/15 0:00,"302 Parks Library, Ames, IA 50011-2140 US"
CLIR Sponsor-DLF Member LAC,Occidental College,8/4/15 0:00,"1600 Campus Rd., Los Angeles, CA 90041 US"
CLIR Sponsor-DLF Member,University of Arkansas,7/1/15 0:00,"365 N McIlroy Avenue, Fayatteville, AR 72701-4002 US"
CLIR Sponsor-DLF Member LAC,Haverford College,7/11/14 0:00,"370 Lancaster Avenue, Magill Library, Haverford, PA 19041-1336 US"
CLIR Sponsor-DLF Member,University of Ottawa,7/1/16 0:00,"Library, 65 University Private, Ottawa, ON K1N 6N5 CA"
CLIR Sponsor-DLF Member,University of Illinois at Urbana-Champaign,7/1/11 0:00,"1408 West Gregory Drive, 230 Library MC-522, Urbana, IL 61801 US"
CLIR Sponsor-DLF Member,University of Houston,7/1/13 0:00,"114 University Libraries, Houston, TX 77204-2000 US"
CLIR Sponsor-DLF Member,University of Rochester,7/1/16 0:00,"200 Wallis Hall, Rochester, NY 14627 US"
CLIR Sponsor-DLF Member LAC,Swarthmore College,7/17/14 0:00,"500 College Avenue, Swarthmore, PA 19081 US"
CLIR Sponsor-DLF Member,Temple University,7/1/13 0:00,"1210 Polett Walk, Philadelphia, PA 19122 US"
CLIR Sponsor-DLF Member,Dartmouth College,7/1/11 0:00,"Hinman Box 6025, Baker-Berry Library, Hanover, NH 03755-3525 US"
CLIR Sponsor-DLF Member,National Library of Medicine,7/1/11 0:00,"8600 Rockville Pike, Bldg. 38, RM 2W06, Bethesda, MD 20894 US"
CLIR Sponsor-DLF Member,North Carolina State University,7/1/11 0:00,"Box 7111, Raleigh, NC 27695-7111 US"
CLIR Sponsor-DLF Member,Lehigh University,7/1/15 0:00,"8A East Packer Avenue, 754 Fairchild/Martindale Library, Bethlehem, PA 18015-3170 US"
CLIR Sponsor-DLF Member,University of Delaware,7/1/11 0:00,"181 South College Avenue, Newark, DE 19717-5267 US"
CLIR Sponsor-DLF Member,Columbia University Libraries,7/1/11 0:00,"535 West 114th Street, 517 Butler Library, New York, NY 10027 US"
CLIR Sponsor-DLF Member LAC,University of Richmond,7/1/15 0:00,"Boatwright Memorial Library, 28 Westhampton Way, Richmond, VA 23173 US"
CLIR Sponsor-DLF Member LAC,Colgate University,7/1/14 0:00,"13 Oak Drive, Hamilton, NY 13346-1386 US"
CLIR Sponsor-DLF Member,The Ohio State University,7/1/13 0:00,"1858 Neil Avenue Mall, 304C Thompson Libraries, Columbus, OH 43210 US"
CLIR Sponsor-DLF Member,Northeastern University,7/1/13 0:00,"320 Snell Library, 360 Huntington Avenue, Boston, MA 02115-5005 US"
CLIR Sponsor-DLF Member,University of Minnesota,7/1/11 0:00,"499 Wilson Library, 309 19th Avenue South, Minneapolis, MN 55455 US"
DLF Member,Chemical Heritage Foundation,7/1/16 0:00,"315 Chestnut Street, Philadelphia, PA 19106 US"
CLIR Sponsor-DLF Member,Massachusetts Institute of Technology,7/1/11 0:00,"77 Massachusetts Avenue, Room 14S-216, Cambridge, MA 02139-4307 US"
CLIR Sponsor-DLF Member,University of Arizona,7/1/11 0:00,"1510 East University, Tucson, AZ 85721-0055 US"
DLF Member,Princeton Theological Seminary,7/1/13 0:00,"25 Library Place, P.O. Box 111, Princeton, NJ 08542 US"
CLIR Sponsor-DLF Member,The George Washington University,7/1/11 0:00,"2130 H Street, NW, Washington, DC 20052 US"
CLIR Sponsor-DLF Member LAC,Colby College,7/3/14 0:00,"5104 Mayflower Hill, Waterville, ME 04901-8851 US"
CLIR Sponsor-DLF Member,Smithsonian Institution,7/1/11 0:00,"PO Box 37012, NHB 26 A, MRC 154, Washington, DC 20013-7012 US"
CLIR Sponsor-DLF Member,Baylor University,7/1/14 0:00,"One Bear Place, #97143, Waco, TX 76798-7143 US"
CLIR Sponsor-DLF Member,"University of California, Los Angeles",7/1/11 0:00,"Box 951575, Campus Mailcode 157511 11334 Young Research Library, Los Angeles, CA 90095-1575 US"
CLIR Sponsor-DLF Member,Yale University,7/1/11 0:00,"120 High Street, New Haven, CT 06520-8240 US"
CLIR Sponsor-DLF Member,Mississippi State University,8/8/16 0:00,"PO Box 5408, Mississippi State, MS 39762-5408 US"
CLIR Sponsor-DLF Member,Oregon State University,7/1/13 0:00,"121 The Valley Library, Corvallis, OR 97331-4501 US"
CLIR Sponsor-DLF Member,University of North Texas,7/1/11 0:00,"1155 Union Circle #305190, Denton, TX 76203-5017 US"
CLIR Sponsor-DLF Member,Pennsylvania State University,7/1/11 0:00,"510 Paterno Library, University Park, PA 16802 US"
CLIR Sponsor-DLF Member,West Virginia University,7/9/14 0:00,"P.O. Box 6069, Morgantown, WV 26506 US"
CLIR Sponsor-DLF Member,University of Kentucky,7/1/11 0:00,"500 S.  Limestone St., Lexington, KY 40506-0456 US"
CLIR Sponsor-DLF Member LAC,Smith College,8/26/15 0:00,"Neilson Library, Northampton, MA 01063-0001 US"
CLIR Sponsor-DLF Member,"University of California, Santa Barbara",7/1/15 0:00,"UCSB Davidson Library 9010, Santa Barbara, CA 93106-9010 US"
CLIR Sponsor-DLF Member LAC,Vassar College,7/1/14 0:00,"Box 20, Raymond Avenue, Poughkeepsie, NY 12604-0020 US"
CLIR Sponsor-DLF Member,Johns Hopkins University,7/1/11 0:00,"The Sheridan Libraries, 3400 North Charles Street, Baltimore, MD 21218-2683 US"
CLIR Sponsor-DLF Member LAC,Bates College,7/8/14 0:00,"48 Campus Avenue, Lewiston, ME 04240 US"
CLIR Sponsor-DLF Member,"University of California, San Diego",7/1/11 0:00,"9500 Gilman Drive, Dept. 0175G, La Jolla, CA 92093-0175 US"
CLIR Sponsor-DLF Member,"University of California, Berkeley",7/1/11 0:00,"255 Doe Library, Berkeley, CA 94720-6000 US"
CLIR Sponsor-DLF Member,New York Public Library,7/1/11 0:00,"11 West 40th Street, Room 213, New York, NY 10018-2788 US"
CLIR Sponsor-DLF Member LAC,Furman University,7/1/14 0:00,"3300 Poinsett Highway, Greenville, SC 29613 US"
CLIR Sponsor-DLF Member,Middle Tennessee State University,8/27/14 0:00,"James E. Walker Library, 1301 E. Main Street P.O. Box 13, Murfreesboro, TN 37132 US"
CLIR Sponsor-DLF Member,University of Miami,7/1/11 0:00,"1300 Memorial Drive, No.333, Coral Gables, FL 33146 US"
CLIR Sponsor-DLF Member,Montana State University,3/1/13 0:00,"PO Box 173320, Bozeman, MT 59717-3220 US"
CLIR Sponsor-DLF Member LAC,Bryn Mawr College,7/1/11 0:00,"101 North Merion Avenue, Bryn Mawr, PA 19010-2899 US"
DLF Member,Metropolitan New York Library Council,7/1/14 0:00,"57 East 11th Street, Fourth Floor, New York, NY 10003 US"
CLIR Sponsor-DLF Member,University of Southern California,7/1/11 0:00,"3550  Trousdale Pkwy, DML100 MC0182 Suite 100, Los Angeles, CA 90089-0182 US"
DLF Member,Georgia State University,12/17/13 0:00,"100 Decatur Street, SE, Atlanta, GA 30303 US"
CLIR Sponsor-DLF Member,Brown University,7/1/12 0:00,"Brown University Library, Box A, Providence, RI 02912 US"
CLIR Sponsor-DLF Member,University of Pennsylvania,7/1/11 0:00,"3420 Walnut Street, Room 237, Philadelphia, PA 19104-6206 US"
CLIR Sponsor-DLF Member,University of Guelph,1/6/16 0:00,"50 Stone Road East, Guelph, ON N1G 2W1 CA"
CLIR Sponsor-DLF Member,Boston College,7/1/11 0:00,"140 Commonwealth Avenue, Chestnut Hill, MA 02167 US"
CLIR Sponsor-DLF Member,University of Alabama at Birmingham,9/7/16 0:00,"172 Sterne Library, 917 13th Street South, Birmingham, AL 35294 US"
CLIR Sponsor-DLF Member,Stanford University,7/1/11 0:00,"Cecil H. Green Library rm. 101, Stanford, CA 94305-6004 US"
CLIR Sponsor-DLF Member,California Institute of Technology,7/1/13 0:00,"1200 E. California Blvd. MC I-32, Pasadena, CA 91125-3200 US"
CLIR Sponsor-DLF Member,New York University,7/1/11 0:00,"70 Washington Square South, 11th Floor, Room 1134, New York, NY 10012 US"
