Arizona State University,"Arizona State University, Tempe, AZ 85287-1006 US",7/1/12 0:00,http://lib.asu.edu/,33.416317,-111.934118,ChIJSTT2VMMIK4cR35mhpl1J8_M
"University of California, Irvine","University of California, Irvine, Irvine, CA 92623-9557 US",7/1/12 0:00,http://www.lib.uci.edu/,33.6404952,-117.8442962,ChIJkb-SJQ7e3IAR7LfattDF-3k
California Digital Library,"California Digital Library, Oakland, CA 94612-2901 US",7/1/11 0:00,http://www.cdlib.org/,37.8084754,-122.2674787,ChIJ_2sDjrKAj4ARLNmoS5b11rI
McMaster University,"McMaster University, Hamilton, ON L8S 4L6 CA",7/1/14 0:00,http://library.mcmaster.ca/,43.260879,-79.9192254,ChIJwSr3RKyELIgRHAFDYeoAnjk
Harvard University,"Harvard University, Cambridge, MA 02138 US",7/1/11 0:00,http://library.harvard.edu/,42.3770029,-71.11666009999999,ChIJmQF_fUJ344kR8Cck7lzGN1k
Boston College,"Boston College, Chestnut Hill, MA 02167 US",9/7/16 0:00,http://library.bc.edu/,42.3355488,-71.16849450000001,ChIJydQlp11444kRbuu4pZCuaAs
University of Wisconsin-Madison,"University of Wisconsin-Madison, Madison, WI 53706 US",7/1/13 0:00,#,43.076592,-89.4124875,ChIJHUh_CpWsB4gRZDpzkeBl4Mk
University of New Mexico,"University of New Mexico, Albuquerque, NM 87131 US",7/1/15 0:00,http://library.unm.edu/,35.0843187,-106.6197812,ChIJvfGBJFoLIocRR9NeHTbHd3c
University of Kansas,"University of Kansas, Lawrence, KS 66045-7544 US",7/1/13 0:00,https://lib.ku.edu/,38.9543439,-95.2557961,ChIJc9ao8zJvv4cRKIIjqyFOcVM
University of Wyoming,"University of Wyoming, Laramie, WY 82071-3334 US",7/1/13 0:00,http://www-lib.uwyo.edu/,41.3148754,-105.5665744,ChIJIb1k6GuQaIcR7w2hzU_h7xo
University of Notre Dame,"University of Notre Dame, Notre Dame, IN 46556 US",7/1/11 0:00,http://library.nd.edu/,41.7055716,-86.2353388,ChIJzTX8a1fNFogRt9mfZcvjK1o
University of Virginia,"University of Virginia, Charlottesville, VA 22904-4114 US",7/1/11 0:00,http://www.lib.virginia.edu/,38.034247,-78.51018739999999,ChIJ6RNJ2lqGs4kRq7KMHzDxeuc
University of Utah,"University of Utah, Salt Lake City, UT 84112-0860 US",7/1/11 0:00,http://www.lib.utah.edu/,40.7703804,-111.8357481,ChIJi3nHZ5ZfUocR7s-rcmOOfic
Georgia Institute of Technology,"Georgia Institute of Technology, Atlanta, GA 30332-0001 US",8/27/14 0:00,http://www.library.gatech.edu/,33.7756178,-84.39628499999999,ChIJ40_D64oE9YgRD8XYOj7QKrU
Georgetown University,"Georgetown University, Washington, DC 20057-1174 US",7/1/12 0:00,http://www.georgetown.edu/research/libraries/index.html,38.9076089,-77.07225849999999,ChIJa4-fzkC2t4kRgihmVAVtnRw
University of Maryland at College Park,"University of Maryland at College Park, College Park, MD 20742 US",7/1/11 0:00,#,38.9869183,-76.9425543,ChIJq6qaPr3Gt4kRmtrkpd2LjtQ
Marquette University,"Marquette University, Milwaukee, WI 53201-3141 US",7/1/15 0:00,http://www.marquette.edu/library/,43.0382216,-87.9297546,ChIJWwzA14EZBYgRCxLMKlhRvVU
St. Lawrence University,"St. Lawrence University, Canton, NY 13617 US",8/4/15 0:00,http://www.stlawu.edu/library/,44.5892119,-75.1608814,ChIJxcPbtYH2zEwREXH5YvrMFq0
Amherst College,"Amherst College, Amherst, MA 01002 US",12/5/14 0:00,https://www.amherst.edu/library,42.3709104,-72.5170028,ChIJjzZMG_jN5okRvCYRnhDnGUo
Bucknell University,"Bucknell University, Lewisburg, PA 17837 US",7/17/14 0:00,http://www.bucknell.edu/x1263.xml,40.9548827,-76.8847321,ChIJ3U7mfLwTz4kR-em5PjbPbPM
"University of Alabama, Tuscaloosa","University of Alabama, Tuscaloosa, Tuscaloosa, AL 35487-0266 US",7/1/14 0:00,http://www.ua.edu/libraries.html,33.2140233,-87.5391418,ChIJuyDejJkChogREgmu26spDt8
University of Michigan,"University of Michigan, Ann Arbor, MI 48109-1190 US",7/1/11 0:00,http://www.lib.umich.edu/lit/,42.2780436,-83.7382241,ChIJARfe5ziuPIgR45fpeFFOoVs
"University of Illinois, Chicago","University of Illinois, Chicago, Chicago, IL 60607 US",7/1/15 0:00,#,41.8733696,-87.650714,ChIJz8WQDecsDogRrc2nn_Dpsm0
Washington University,"Washington University, St. Louis, MO 63130 US",7/1/14 0:00,http://libraries.wustl.edu/,38.6682669,-90.32308069999999,ChIJYyPseTk134cR620XppiBqrA
Tufts University,"Tufts University, Somerville, MA 02144 US",2/22/16 0:00,http://www.library.tufts.edu/,42.3991718,-71.1240559,ChIJ83x-qt9244kRfiKFU_1K9eA
University of North Carolina at Chapel Hill,"University of North Carolina at Chapel Hill, Chapel Hill, NC 27514-8890 US",7/1/11 0:00,http://library.unc.edu/,35.9049122,-79.0469134,ChIJ66oXy9LCrIkR4OCXZJfwO7M
University of Washington,"University of Washington, Seattle, WA 98195-2900 US",7/1/11 0:00,http://www.lib.washington.edu/,47.6593566,-122.3108896,ChIJ37y6X4sUkFQRfSB6zHv-L2g
University of Southern California,"University of Southern California, Los Angeles, CA 90089-0182 US",7/1/11 0:00,https://libraries.usc.edu/,34.0223519,-118.285117,ChIJ7aVxnOTHwoARxKIntFtakKo
Brown University,"Brown University, Providence, RI 02912 US",7/1/12 0:00,http://library.brown.edu/,41.8267718,-71.4025482,ChIJKY6zkCRF5IkRyyCi9_xpfgs
University of Pennsylvania,"University of Pennsylvania, Philadelphia, PA 19104-6206 US",7/1/11 0:00,http://www.library.upenn.edu/,39.9522188,-75.1932137,ChIJwcw7f1rGxokRlP7WsqKm6gk
University of Guelph,"University of Guelph, Guelph, ON N1G 2W1 CA",1/6/16 0:00,http://www.lib.uoguelph.ca/,43.5353897,-80.219583,ChIJA4QOrS2bK4gRc-Ta1NVYOCo
Boston College,"Boston College, Chestnut Hill, MA 02167 US",7/1/11 0:00,http://library.bc.edu/,42.3355488,-71.16849450000001,ChIJydQlp11444kRbuu4pZCuaAs
University of Alabama at Birmingham,"University of Alabama at Birmingham, Birmingham, AL 35294 US",9/7/16 0:00,https://www.uab.edu/libraries/,33.5021227,-86.8064447,ChIJRxq4YekbiYgRS7BbCPlZxlE
Stanford University,"Stanford University, Stanford, CA 94305-6004 US",7/1/11 0:00,http://www-sul.stanford.edu/,37.4274745,-122.169719,ChIJneqLZyq7j4ARf2j8RBrwzSk
California Institute of Technology,"California Institute of Technology, Pasadena, CA 91125-3200 US",7/1/13 0:00,http://library.caltech.edu/,34.1376576,-118.125269,ChIJkXuZ6qfEwoARGt1hGtDnmTQ
Stony Brook University,"Stony Brook University, Stony Brook, NY 11794-3300 US",1/26/15 0:00,http://library.stonybrook.edu/,40.9123761,-73.1233889,ChIJvzh05jM_6IkRhcy9aqUcTHM
New York University,"New York University, New York, NY 10012 US",7/1/11 0:00,http://www.nyu.edu/library/,40.72951339999999,-73.9964609,ChIJwZVT9ZpZwokRBfO1cTF0MNo
University of Denver,"University of Denver, Denver, CO 80208-0287 US",7/21/15 0:00,http://library.du.edu/,39.6793255,-104.961337,ChIJFwNqZxV-bIcR3mRJdKjimq0
